127.0.0.1 - - [08/Jul/2021:16:56:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Jul/2021:16:56:13 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [08/Jul/2021:16:56:14 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [08/Jul/2021:16:56:14 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [08/Jul/2021:16:56:14 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [08/Jul/2021:16:56:36 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [08/Jul/2021:16:56:36 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [08/Jul/2021:16:56:36 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [08/Jul/2021:16:56:36 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [08/Jul/2021:16:56:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Jul/2021:16:57:20 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [08/Jul/2021:16:57:20 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2021:16:57:20 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2021:16:57:20 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [08/Jul/2021:16:59:00 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [08/Jul/2021:16:59:00 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2021:16:59:00 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2021:16:59:38 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [08/Jul/2021:17:00:57 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [08/Jul/2021:17:00:57 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [08/Jul/2021:17:00:57 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2021:17:00:58 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [08/Jul/2021:17:02:22 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [08/Jul/2021:17:02:22 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2021:17:02:22 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2021:17:03:14 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [08/Jul/2021:17:06:25 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 814
